map_50,map_75,acc,f1,dice,aji,aji_plus,dq,sq,pq,img_names,dataset,model,file_name,dist,area,cnt
0.2986189126968384,0.048367865383625,1.0,0.76,0.5074933790151894,0.3502349846936575,0.4650659452147446,0.4752475247524752,0.6848559447642384,0.3254760925612222,test_1_008,consep,dist,test_1_008,6.925883953797652,185.9607843137255,51
0.016831686720252,0.016831686720252,0.074074074074074,0.6206896551724138,0.4316444081525492,0.2069284539473684,0.2069284539473684,0.1149425287356321,0.6346196643769791,0.0729447890088481,test_1_008,consep,seg_unet,test_1_008,6.925883953797652,185.9607843137255,51
0.631201982498169,0.5154703259468079,0.9230769230769232,0.5977011494252874,0.6552793142875644,0.3782735208535402,0.3836580551025663,0.5111111111111111,0.6751627926385466,0.3450832051263682,test_1_008,consep,mask_rcnn,test_1_008,6.925883953797652,185.9607843137255,51
0.4694234728813171,0.3230008780956268,0.945945945945946,0.7551020408163265,0.6361039074925892,0.4882495058203382,0.5456236786469345,0.6060606060606061,0.7345381321771974,0.4451746255619379,test_1_008,consep,hovernet,test_1_008,6.925883953797652,185.9607843137255,51
0.252585232257843,0.0867515355348587,1.0,0.6495726495726496,0.4127146361322013,0.2621672212978369,0.4099577480872445,0.4745762711864407,0.757437223353539,0.3594617331169338,test_1_009,consep,dist,test_1_009,5.604742945959822,164.88235294117646,68
0.0773398131132125,0.0100990096107125,0.2,0.703125,0.3608472476039384,0.2134357005758157,0.2140814266487214,0.203125,0.6965764533519043,0.1414920920871055,test_1_009,consep,seg_unet,test_1_009,5.604742945959822,164.88235294117646,68
0.5743105411529541,0.1157178208231926,0.9285714285714286,0.7368421052631579,0.6333754740548413,0.4131399430425856,0.4414047780541111,0.6324786324786325,0.7041028283225162,0.4453299939817624,test_1_009,consep,mask_rcnn,test_1_009,5.604742945959822,164.88235294117646,68
0.5475246906280518,0.4286678731441498,0.9166666666666666,0.7868852459016393,0.5898138704554495,0.506583220168861,0.5430103732975796,0.6557377049180327,0.7739647966032984,0.5075178994119989,test_1_009,consep,hovernet,test_1_009,5.604742945959822,164.88235294117646,68
0.3485253453254699,0.125742569565773,1.0,0.6551724137931034,0.6317807879859108,0.4407906093561194,0.4833294744153739,0.5517241379310345,0.7254725826648308,0.4002607352633549,test_1_010,consep,dist,test_1_010,8.655479547567946,200.8275862068965,29
0.0210396032780408,0.0,0.1333333333333333,0.6818181818181818,0.3811475408968243,0.1366976972072513,0.1406170103971365,0.1363636363636363,0.6566574509297476,0.0895441978540564,test_1_010,consep,seg_unet,test_1_010,8.655479547567946,200.8275862068965,29
0.5371326208114624,0.0861386209726333,0.8095238095238095,0.7777777777777778,0.5347218089536018,0.3572817631806396,0.3906474820143885,0.6666666666666666,0.6519247001067499,0.4346164667378332,test_1_010,consep,mask_rcnn,test_1_010,8.655479547567946,200.8275862068965,29
0.5092804431915283,0.0563118830323219,0.9473684210526316,0.7307692307692307,0.586010041915812,0.4592200762701439,0.497893850042123,0.6792452830188679,0.7306745112101103,0.4963072151615843,test_1_010,consep,hovernet,test_1_010,8.655479547567946,200.8275862068965,29
0.2793531715869903,0.0427258946001529,1.0,0.7021276595744681,0.4630323030886897,0.2975044854020551,0.4467922217118358,0.5052631578947369,0.7121422305625217,0.3598192322842214,test_1_011,consep,dist,test_1_011,7.44828533100251,168.9,50
0.0357142873108387,0.0,0.0434782608695652,0.5679012345679012,0.3860628869265433,0.1653107712333225,0.1635284719844802,0.1234567901234567,0.6103158981246997,0.07534764174379,test_1_011,consep,seg_unet,test_1_011,7.44828533100251,168.9,50
0.6387156844139099,0.5291029214859009,0.8888888888888888,0.6,0.6596411993062576,0.3375288069491225,0.3499355551463818,0.5208333333333334,0.7092662109741421,0.3694094848823657,test_1_011,consep,mask_rcnn,test_1_011,7.44828533100251,168.9,50
0.3585751354694366,0.2965700030326843,0.8387096774193549,0.6966292134831461,0.56321045604661,0.3745556467049494,0.4117545970097955,0.4666666666666667,0.7552146754422314,0.3524335152063746,test_1_011,consep,hovernet,test_1_011,7.44828533100251,168.9,50
0.3174193501472473,0.1494262367486953,1.0,0.684931506849315,0.6099022390220782,0.4390310536381022,0.5142420821990572,0.547945205479452,0.7859642130723508,0.430665322231425,test_1_012,consep,dist,test_1_012,7.774205380233622,280.44736842105266,38
0.0455875992774963,0.0111924232915043,0.1851851851851851,0.6352941176470588,0.323633320922107,0.2716842195393441,0.2732486324333862,0.2352941176470588,0.7013118307919749,0.1650145484216411,test_1_012,consep,seg_unet,test_1_012,7.774205380233622,280.44736842105266,38
0.5741950869560242,0.292079210281372,0.9230769230769232,0.7027027027027027,0.7163714088788765,0.4415269899942642,0.4620038064165307,0.725,0.7246619970107747,0.5253799478328116,test_1_012,consep,mask_rcnn,test_1_012,7.774205380233622,280.44736842105266,38
0.6470354199409485,0.4649087190628052,0.967741935483871,0.8266666666666667,0.6824572237918242,0.654617010421981,0.6890535372848948,0.7792207792207793,0.7838217059042296,0.6107701604448543,test_1_012,consep,hovernet,test_1_012,7.774205380233622,280.44736842105266,38
0.1373635679483413,0.0549433156847953,1.0,0.7068965517241379,0.4616995718587581,0.3046273546273546,0.3792239404352806,0.3448275862068966,0.7177958126961057,0.2475157974814157,test_1_013,consep,dist,test_1_013,6.367739953469993,142.27868852459017,61
0.2623403668403625,0.1563710719347,0.2631578947368421,0.6846846846846847,0.5060695980122228,0.2847610848041326,0.2906899601946041,0.2342342342342342,0.7320752597371654,0.171477087866363,test_1_013,consep,seg_unet,test_1_013,6.367739953469993,142.27868852459017,61
0.4930457174777984,0.3217532038688659,0.896551724137931,0.58,0.5804730012253834,0.3160766755281936,0.351213953896047,0.4761904761904761,0.702964394527619,0.3347449497750567,test_1_013,consep,mask_rcnn,test_1_013,6.367739953469993,142.27868852459017,61
0.573481023311615,0.3730747997760772,0.7906976744186046,0.7747747747747747,0.5766286783221369,0.4882322369886406,0.5460644007155635,0.6607142857142857,0.7408638008058673,0.4894992969610194,test_1_013,consep,hovernet,test_1_013,6.367739953469993,142.27868852459017,61
0.284728854894638,0.0079207923263311,1.0,0.72,0.4608238787611047,0.2971619365609348,0.4042940320232897,0.4533333333333333,0.6864110777868273,0.3111730219300284,test_1_014,consep,dist,test_1_014,6.258730712030872,175.3846153846154,39
0.0,0.0,0.0,0.40625,0.1501619620372325,0.060900140646976,0.060900140646976,0.0,0.0,0.0,test_1_014,consep,seg_unet,test_1_014,6.258730712030872,175.3846153846154,39
0.1624109745025634,0.0099009899422526,0.8888888888888888,0.5373134328358209,0.5718427559843231,0.2468034812506715,0.2448374215630347,0.3661971830985915,0.6250282484775321,0.2288835839495188,test_1_014,consep,mask_rcnn,test_1_014,6.258730712030872,175.3846153846154,39
0.5745387077331543,0.1292432695627212,0.9666666666666668,0.7894736842105263,0.6404143857413377,0.550106133392917,0.5754423720707795,0.7272727272727273,0.7221420413172105,0.5251942118670622,test_1_014,consep,hovernet,test_1_014,6.258730712030872,175.3846153846154,39
0.205526515841484,0.0471931211650371,1.0,0.6238532110091743,0.3011088839386324,0.1767874739954013,0.3627626858021527,0.3636363636363636,0.7162744689581241,0.2604634432574996,test_1_015,consep,dist,test_1_015,5.166386806832188,153.21666666666667,60
0.0384615398943424,0.0,0.0476190476190476,0.4772727272727273,0.2413555585836402,0.087850069215206,0.0826818035771661,0.0454545454545454,0.6016579543981316,0.0273480888362787,test_1_015,consep,seg_unet,test_1_015,5.166386806832188,153.21666666666667,60
0.3730093240737915,0.2667079269886017,0.8148148148148148,0.5625,0.6081462396878821,0.2764064071809951,0.295558037632099,0.495049504950495,0.6634479519447264,0.3284395801706566,test_1_015,consep,mask_rcnn,test_1_015,5.166386806832188,153.21666666666667,60
0.1516558527946472,0.0309864338487386,0.9666666666666668,0.6382978723404256,0.3574540744124631,0.2015653516776639,0.3551387012161195,0.5106382978723404,0.6993415383714019,0.3571105727853967,test_1_015,consep,hovernet,test_1_015,5.166386806832188,153.21666666666667,60
0.0429042913019657,0.0066006602719426,1.0,0.3333333333333333,0.0739520066006418,0.0396417954632359,0.103802460415563,0.1818181818181818,0.6968075748832614,0.1266922863424111,test_10_000,consep,dist,test_10_000,3.3070742739111045,368.7391304347826,46
